@relation 'Multiclass Clothing Sales Dataset-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-Llast'

@attribute Product_Category {'Traditional Wear',Athleisure,Outerwear,Bottoms,Tops}
@attribute Brand {'Forever 21','Ralph Lauren',Nike,Zara,Wrangler,Balenciaga,Uniqlo,Reebok,Gucci,'Louis Vuitton','Tommy Hilfiger','Under Armour','Calvin Klein',Puma,Diesel,Versace,Levi’s,Adidas,H&M,GAP}
@attribute Product_Name {Tops,'Casual Shirt',Blazer,Leggings,Dress,Jeans,Hoodie,Jumpsuit,Trousers,Jacket,Skirt,T-Shirt,Saree,Kurta,Shorts,'Polo Shirt',Palazzo,Sweatshirt,'Formal Shirt','Track Pants'}
@attribute Gender {Women,Men}
@attribute Size {S,XXL,M,XL,L}
@attribute Color {White,Yellow,Green,Orange,Purple,Black,Pink,Red,Blue}
@attribute Season {Winter,All-Season,Summer}
@attribute Payment_Method {Card,UPI,'Net Banking',Cash}
@attribute Customer_Type {New,Returning}
@attribute Selling_Price numeric
@attribute Cost_Price numeric
@attribute Discount_Percentage numeric
@attribute Quantity_Sold numeric
@attribute Total_Sales numeric
@attribute Stock_Availability numeric
@attribute Customer_Age numeric
@attribute Purchase_Frequency numeric
@attribute Store_Rating numeric
@attribute Return_Rate numeric
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
'Traditional Wear','Forever 21',Palazzo,Men,XL,Blue,All-Season,'Net Banking',New,1327.317565,980.323371,44.257372,9,65896.27069,260,37,2.477502,4.344357,6.912793,'High Sales',no,no
Tops,Balenciaga,Palazzo,Women,XL,White,Winter,'Net Banking',Returning,1862.005316,279.273789,27.983282,7,75337.81249,314,61,3.33447,3.420716,8.757699,'Medium Sales',no,no
Outerwear,'Calvin Klein','Polo Shirt',Men,L,Pink,All-Season,Cash,New,1217.762398,722.455911,16.117504,7,54177.838941,255,19,2.45062,4.046443,6.087986,'Medium Sales',no,no
Athleisure,Nike,Jacket,Women,S,Red,Summer,'Net Banking',New,-110.454777,631.996846,48.080747,1,61246.975151,355,42,4.040173,4.721031,6.664737,'Low Sales',no,no
Outerwear,Zara,Skirt,Women,S,Green,Winter,UPI,Returning,2422.430841,744.888558,24.994389,3,30643.853252,267,28,-0.027797,3.988063,1.084115,'Low Sales',no,no
Athleisure,Versace,Shorts,Men,S,Orange,Winter,UPI,Returning,1658.180881,1767.113108,7.653502,7,76994.882648,374,59,3.383548,3.655794,13.633796,'High Sales',no,no
Tops,Nike,Leggings,Men,M,White,Winter,'Net Banking',New,1554.029505,982.328702,43.522138,3,15732.332787,3,30,1.847584,3.518203,15.983646,'Low Sales',no,no
Bottoms,'Tommy Hilfiger','Polo Shirt',Men,M,White,Winter,Card,Returning,2063.412245,458.092306,43.86387,3,27625.944681,337,48,0.099731,4.990543,1.626008,'Medium Sales',no,no
'Traditional Wear',Wrangler,Blazer,Women,XXL,Blue,All-Season,UPI,Returning,1681.419042,1020.162046,40.821042,2,16011.734741,160,27,1.39849,3.501145,6.500469,'Low Sales',no,no
Tops,Levi’s,Jeans,Men,L,Purple,Summer,Card,New,1971.704664,1155.606167,36.130279,5,68401.309654,25,55,2.588765,3.995121,12.855467,'Medium Sales',no,no
'Traditional Wear',Levi’s,Dress,Women,L,Orange,All-Season,'Net Banking',New,1531.836443,1634.118732,24.994389,9,25903.786518,292,49,1.771729,4.32675,19.12302,'High Sales',no,no
Bottoms,'Under Armour',T-Shirt,Men,L,Orange,Summer,UPI,New,1443.193347,316.843811,34.424494,9,69242.758317,448,21,0.669386,4.728967,8.157516,'Medium Sales',no,no
Bottoms,'Ralph Lauren',Shorts,Men,XXL,Pink,Summer,Card,New,2092.844735,436.142645,19.985773,7,58072.16124,32,21,1.265832,3.89725,6.836073,'Low Sales',no,no
Tops,Balenciaga,Jeans,Women,L,Black,Winter,'Net Banking',Returning,1624.320751,703.835557,5.190348,4,10653.584835,463,32,1.285273,3.539136,22.067912,'High Sales',no,no
Bottoms,'Forever 21',Saree,Men,S,Black,Winter,'Net Banking',Returning,1475.871165,790.020245,10.118179,7,44852.146291,344,38,0.662593,3.368923,27.936154,'High Sales',no,no
Athleisure,Puma,Dress,Men,S,White,Winter,UPI,New,1508.537212,1295.223983,5.2997,5,20149.726228,318,35,2.102152,4.850788,0.80506,'High Sales',no,no
Bottoms,Zara,Leggings,Men,XXL,Purple,Winter,'Net Banking',Returning,1274.805159,854.564383,35.980741,5,58257.134933,38,53,0.692892,3.109198,11.397131,'High Sales',no,no
'Traditional Wear','Forever 21',T-Shirt,Women,L,Red,Summer,'Net Banking',Returning,1388.423293,740.809895,40.276711,9,72100.179332,53,44,3.968596,4.307213,12.963548,'High Sales',no,no
'Traditional Wear',Reebok,Jumpsuit,Women,XL,White,Summer,'Net Banking',Returning,2014.263074,812.683198,35.367875,2,68841.368633,395,36,1.858394,3.681567,19.752211,'Medium Sales',no,no
'Traditional Wear','Calvin Klein',Sweatshirt,Men,XL,Pink,Winter,Cash,New,2166.317078,1138.628954,7.924651,6,56882.480672,59,62,0.98873,4.984377,16.497899,'Low Sales',no,no
'Traditional Wear',Versace,Palazzo,Men,XL,Blue,Summer,Cash,Returning,892.572998,1030.521952,24.994389,8,35785.929698,152,52,1.005304,3.828793,26.506432,'Medium Sales',no,no
Athleisure,'Under Armour','Casual Shirt',Men,M,Red,Summer,Cash,Returning,882.876795,771.942849,25.128378,6,54903.539468,63,23,2.881804,3.833923,11.489,'High Sales',no,no
Outerwear,Wrangler,Saree,Women,XL,Blue,All-Season,Card,New,1050.762526,1033.32847,24.994389,6,53265.918285,24,24,4.65942,3.095252,22.580135,'Medium Sales',no,no
Tops,Versace,Blazer,Women,XXL,Green,All-Season,'Net Banking',New,1465.574181,1242.55257,37.745745,1,54654.52676,440,33,0.957057,4.099665,16.868078,'Low Sales',no,no
'Traditional Wear',Zara,Trousers,Women,XL,Red,Winter,'Net Banking',New,1236.315082,413.317544,23.142846,7,52910.14626,453,46,2.852032,4.690222,9.881868,'Medium Sales',no,no
Bottoms,Adidas,Sweatshirt,Women,XL,Pink,Winter,Card,Returning,1008.226174,1398.743746,12.496279,7,41628.778625,273,56,0.83253,4.322663,28.993626,'High Sales',no,no
'Traditional Wear',Wrangler,Palazzo,Men,XXL,White,Winter,Card,New,909.822359,1205.88649,42.015344,3,33819.731303,280,23,1.252224,4.015458,13.678655,'High Sales',no,no
Bottoms,Balenciaga,'Polo Shirt',Women,XXL,Pink,All-Season,Card,Returning,1253.873057,410.244221,28.943717,3,34545.339643,208,37,2.843379,3.987886,8.071906,'Low Sales',no,no
Bottoms,'Ralph Lauren',T-Shirt,Men,S,Black,Winter,Cash,Returning,2924.446107,1040.306403,41.250527,6,-6919.938739,89,47,3.323746,3.676373,21.186624,'High Sales',no,no
'Traditional Wear',Nike,'Formal Shirt',Women,L,Blue,All-Season,UPI,New,2124.949351,1229.306177,12.197132,8,76934.024916,261,48,2.368213,3.088247,26.973493,'Low Sales',no,no
Athleisure,Levi’s,Trousers,Women,XL,Green,All-Season,Cash,New,2527.117146,1485.292989,47.565627,8,51893.858376,423,24,1.716569,3.505056,17.001578,'High Sales',no,no
Bottoms,H&M,Dress,Women,XL,Red,Winter,Cash,New,1269.569904,1039.739323,44.277477,3,34615.827355,318,41.066821,1.836087,4.868937,8.411355,'Low Sales',no,no
Bottoms,'Under Armour',Skirt,Men,XL,Pink,Summer,UPI,New,1931.213216,1407.427241,30.116903,3,72203.27367,132,24,3.019962,3.813606,20.421185,'Low Sales',no,no
'Traditional Wear','Forever 21',Saree,Men,S,Orange,All-Season,UPI,New,997.879883,435.255419,47.699994,7,73404.115631,39,52,2.850373,3.830286,2.122264,'Low Sales',no,no
Bottoms,Reebok,Jacket,Women,XL,Pink,Winter,'Net Banking',New,981.775243,474.306991,37.65446,6,22880.233383,397,53,1.071312,3.799649,0.667014,'Low Sales',no,no
Bottoms,Gucci,Sweatshirt,Men,XXL,Yellow,All-Season,Cash,New,1382.227396,769.172502,24.994389,7,48397.930849,195,55,2.377303,3.254324,28.421288,'Medium Sales',no,no
'Traditional Wear',Levi’s,Shorts,Men,XL,White,Summer,Card,New,833.33397,1119.509022,33.540225,1,66112.871393,401,27,1.508689,4.182033,13.568037,'High Sales',no,no
'Traditional Wear',Diesel,Skirt,Men,M,Black,All-Season,Cash,New,1614.393405,842.156098,5.120886,2,39712.074758,425,49,0.080428,4.781076,13.575922,'Low Sales',no,no
Tops,GAP,Trousers,Men,S,Blue,Winter,Cash,New,1392.669566,1107.615596,27.420714,2,36325.254424,111,28,2.076173,3.17059,17.393897,'Low Sales',no,no
Athleisure,H&M,Shorts,Men,M,Green,Summer,Cash,Returning,1124.522076,798.171845,11.946806,8,67254.373716,214,62,1.650285,3.428285,4.202658,'Medium Sales',no,no
Athleisure,Uniqlo,Tops,Men,XXL,Yellow,All-Season,'Net Banking',Returning,821.142191,917.316417,29.013756,3,51230.174893,133,52,0.498109,3.464225,12.073789,'High Sales',no,no
Bottoms,Zara,'Polo Shirt',Women,XXL,Green,Winter,Card,Returning,1629.06162,988.523076,15.074211,8,15511.453972,72,26,0.38907,3.55761,8.449204,'Low Sales',no,no
Athleisure,H&M,Jeans,Men,S,White,All-Season,Card,Returning,1830.472578,928.65605,31.784581,2,23666.946726,197,36,0.274079,3.471047,17.705478,'Medium Sales',no,no
Bottoms,'Calvin Klein','Formal Shirt',Women,XL,Green,All-Season,'Net Banking',New,1859.672689,668.572235,35.434004,2,68263.339677,194,63,1.308336,3.543951,6.115449,'Medium Sales',no,no
Tops,Zara,'Casual Shirt',Men,XL,Orange,All-Season,UPI,Returning,2004.126144,785.372916,28.882086,4,72268.523745,359,58,1.014311,3.098212,9.446845,'Medium Sales',no,no
'Traditional Wear',Diesel,Leggings,Women,L,Yellow,Winter,UPI,Returning,1554.029505,499.878007,36.932584,5,85773.199389,494,54,3.03406,4.770789,1.064231,'Medium Sales',no,no
'Traditional Wear','Calvin Klein',Leggings,Women,XXL,White,All-Season,Card,Returning,588.026755,1181.852105,11.973336,9,60101.7547,21,46,1.332447,3.697421,10.201439,'Low Sales',no,no
'Traditional Wear','Calvin Klein',Saree,Men,S,Yellow,All-Season,Cash,Returning,1554.029505,980.823041,33.142149,7,74982.807284,247,58,3.003631,3.804828,11.557223,'High Sales',no,no
Athleisure,'Under Armour',Shorts,Men,S,Blue,Winter,'Net Banking',Returning,1730.804259,1128.016878,9.658016,2,13301.169331,281,55,4.356968,4.490016,26.932871,'Medium Sales',no,no
Tops,Adidas,Jeans,Women,XL,Purple,Winter,UPI,New,388.471696,1247.168403,25.322211,4,52836.911334,253,51,2.740161,4.569438,24.470136,'Low Sales',no,no
Athleisure,Adidas,'Casual Shirt',Men,M,Yellow,Summer,'Net Banking',New,1561.940549,1418.884191,48.942805,5,49757.1664,174,34,2.247415,3.114633,17.947665,'High Sales',no,no
Athleisure,Reebok,Saree,Women,L,Orange,Summer,Cash,Returning,823.918425,1170.746502,2.876279,2,55620.394008,482,35,2.710403,4.720324,27.246022,'Medium Sales',no,no
Tops,Balenciaga,Tops,Men,XXL,Pink,Winter,UPI,Returning,1966.410157,1109.715989,8.73414,3,36312.869061,1,44,2.230305,4.836157,4.332049,'Low Sales',no,no
Tops,'Under Armour',Hoodie,Men,S,Purple,Summer,UPI,New,2104.324756,1373.824663,24.937493,2,49911.28332,250.329842,24,1.900015,3.111786,17.465858,'Medium Sales',no,no
Tops,Uniqlo,Jumpsuit,Women,M,Red,All-Season,Cash,New,1505.83545,1597.656627,24.994389,1,70370.160205,354,40,1.938967,3.995121,0.117528,'Medium Sales',no,no
Tops,'Louis Vuitton',Shorts,Women,M,White,Winter,'Net Banking',New,1506.335109,764.556486,3.148738,5,9815.438784,122,41,1.573844,3.206579,17.881296,'Low Sales',no,no
'Traditional Wear','Forever 21',Tops,Men,XXL,Purple,Winter,Cash,New,1918.130301,626.258818,14.506487,3,41935.876516,255,52,2.973231,3.659349,20.574215,'High Sales',no,no
Outerwear,Adidas,Skirt,Women,XXL,Orange,All-Season,Cash,Returning,2167.832523,1101.329235,19.23366,9,15770.740061,489,54,2.35539,4.77023,29.243814,'High Sales',no,no
Outerwear,Levi’s,Sweatshirt,Men,M,Yellow,All-Season,'Net Banking',New,526.607951,1361.89272,4.63817,9,47944.516976,46,24,3.173458,4.202305,25.927248,'Medium Sales',no,no
Tops,'Forever 21',Shorts,Women,XL,Black,Winter,Cash,Returning,1290.760198,1206.880205,32.668728,9,49743.181304,47,41,1.646506,4.321206,24.255163,'High Sales',no,no
Outerwear,Wrangler,Hoodie,Men,XL,Red,Winter,Cash,New,826.120793,1299.798631,5.399681,8,36838.65757,385,26,1.438863,3.650253,20.502793,'High Sales',no,no
Outerwear,Adidas,'Formal Shirt',Men,XXL,Blue,Summer,UPI,Returning,1940.702488,488.484302,28.161224,9,47608.409774,208,50,1.207772,3.722693,24.114274,'High Sales',no,no
Tops,Gucci,Palazzo,Women,L,Orange,All-Season,'Net Banking',Returning,1786.831493,1868.083319,46.394073,3,60309.914218,117,41.066821,2.962094,4.315123,13.570076,'Medium Sales',no,no
Outerwear,Levi’s,Dress,Men,XXL,Green,Winter,Card,New,762.170177,156.709291,32.506773,4,25299.467565,60,23,3.073105,3.91844,12.912179,'Low Sales',no,no
Athleisure,H&M,Kurta,Men,XXL,Blue,Summer,Card,Returning,927.892833,1494.819686,36.175283,1,28016.03102,250.329842,22,2.280269,4.677142,20.265084,'Medium Sales',no,no
Bottoms,'Forever 21','Casual Shirt',Men,L,Yellow,Summer,UPI,New,1623.766429,1175.010803,19.470282,1,67015.02693,144,36,0.695694,4.124145,18.69189,'Low Sales',no,no
Bottoms,'Under Armour',Jumpsuit,Men,XXL,Red,Summer,Cash,Returning,1265.674025,1062.500749,48.581282,7,32775.494552,463,24,2.570441,4.705404,22.158494,'Medium Sales',no,no
Tops,Reebok,Palazzo,Women,S,Purple,Winter,Cash,Returning,2328.383023,1053.816991,35.330986,8,45358.34648,77,44,2.198173,4.641127,11.21322,'Medium Sales',no,no
'Traditional Wear',Wrangler,Dress,Men,XXL,Blue,Winter,Cash,New,1462.751975,1156.01032,27.92492,6,31617.52356,134,37,4.399136,4.350304,16.814356,'Medium Sales',no,no
Tops,Versace,Skirt,Women,L,Orange,Summer,Cash,Returning,1554.029505,1255.245199,14.366489,9,45282.094146,22,42,2.481062,3.125367,28.112294,'Low Sales',no,no
'Traditional Wear',GAP,Jeans,Men,M,Pink,Winter,Cash,New,1696.676619,682.401872,24.601102,9,33287.335836,130,58,1.305237,4.823683,16.736116,'High Sales',no,no
Bottoms,Levi’s,Kurta,Men,M,Orange,Winter,'Net Banking',New,2333.682011,1236.337042,22.44457,4,82201.73841,95,26,-1.751753,4.640561,17.074806,'Medium Sales',no,no
Tops,Nike,'Formal Shirt',Men,L,Purple,All-Season,UPI,Returning,1608.218133,381.094161,1.12841,6,40183.577369,18,28,3.85709,4.537114,8.453649,'High Sales',no,no
Athleisure,Zara,Shorts,Women,XL,Yellow,Summer,'Net Banking',New,1574.149718,894.530518,24.918013,9,47373.913985,182,21,1.796523,3.075482,0.183168,'High Sales',no,no
Outerwear,Wrangler,Dress,Men,XXL,Blue,All-Season,UPI,Returning,2125.054442,110.176083,23.973919,5,17124.09428,386,43,2.507472,3.442893,12.637361,'High Sales',no,no
'Traditional Wear','Calvin Klein','Formal Shirt',Men,XXL,Pink,Winter,'Net Banking',New,1627.490358,1426.800397,24.994389,4,45987.856717,427,40,1.721719,3.508262,10.60817,'Low Sales',no,no
Outerwear,Levi’s,Palazzo,Women,XL,Red,Summer,Card,Returning,1479.319191,1429.880281,2.102684,6,30972.67246,257,28,1.562973,4.895796,2.251105,'Low Sales',no,no
Outerwear,Balenciaga,'Polo Shirt',Women,S,Orange,Winter,'Net Banking',Returning,1554.029505,710.488933,47.346686,3,53734.860857,145,63,0.200399,4.48761,23.030347,'Medium Sales',no,no
Tops,Reebok,'Polo Shirt',Women,XXL,Purple,All-Season,'Net Banking',Returning,1244.993218,785.409122,41.719417,2,27324.77482,230,24,2.323878,4.661294,14.14004,'Low Sales',no,no
Outerwear,Levi’s,Jacket,Men,S,Black,Summer,Cash,Returning,952.699912,441.599891,14.420264,6,31861.175471,244,40,2.039776,3.40883,25.748456,'High Sales',no,no
Athleisure,H&M,Saree,Men,XXL,Yellow,All-Season,Card,Returning,1149.743912,683.43909,30.74206,7,48617.997855,91,28,1.294213,4.663162,19.41427,'Low Sales',no,no
Outerwear,Levi’s,Jumpsuit,Women,S,Red,Winter,Card,New,1235.250341,541.213604,26.154088,4,70777.354551,62,21,1.887898,4.350724,12.557238,'High Sales',no,no
Tops,Uniqlo,Kurta,Men,XL,Black,Summer,UPI,Returning,1398.747915,741.468242,41.037521,6,48677.371251,185,21,1.566782,4.364039,10.445175,'Low Sales',no,no
Athleisure,GAP,Skirt,Women,XXL,White,Summer,Card,Returning,1484.779379,1373.232946,48.186929,3,66195.084108,239,64,2.104771,3.736978,21.95175,'High Sales',no,no
Bottoms,Gucci,Saree,Men,XXL,Pink,Winter,Card,New,1683.572851,216.981199,37.862145,2,56348.717927,96,38,2.509004,4.976665,11.799849,'High Sales',no,no
Outerwear,Reebok,'Polo Shirt',Women,L,Green,Winter,'Net Banking',Returning,1273.915232,1259.804997,42.942653,3,54152.253609,193,35,2.792858,3.995121,13.493837,'High Sales',no,no
Tops,GAP,Shorts,Men,S,White,All-Season,Card,New,1752.642965,1114.330456,8.63129,7,60353.265459,188,22,2.751951,3.452113,5.877288,'High Sales',no,no
Bottoms,Versace,Kurta,Women,M,Orange,Winter,Cash,New,1419.808952,305.616455,48.203659,6,71089.935431,233,63,3.532795,4.242422,6.857689,'Low Sales',no,no
Bottoms,'Calvin Klein',Jeans,Men,S,Pink,All-Season,Cash,New,1702.928614,1054.693185,2.374215,1,5014.163422,110,60,0.582777,4.874148,20.910544,'Low Sales',no,no
'Traditional Wear',Levi’s,'Track Pants',Women,L,Blue,All-Season,UPI,New,1965.565671,1340.788548,48.161535,2,40670.698708,120,62,1.429598,3.165464,16.316416,'Medium Sales',no,no
Athleisure,Reebok,'Formal Shirt',Men,M,Pink,Summer,Card,Returning,1724.874775,707.616001,5.333977,1,46580.308806,56,54,1.821454,3.025188,2.354374,'High Sales',no,no
Outerwear,Uniqlo,Dress,Women,XXL,Pink,Winter,Card,New,1531.521645,941.109583,46.192329,7,49825.125779,107,39,2.2022,3.152814,10.633396,'Medium Sales',no,no
Tops,'Calvin Klein',Saree,Women,XXL,Blue,Winter,UPI,Returning,1554.029505,1196.805254,16.144778,5,37623.989163,8,53,1.767644,4.760049,8.766818,'High Sales',no,no
'Traditional Wear',Wrangler,'Polo Shirt',Men,L,Black,Winter,Card,Returning,1554.029505,1210.601233,6.410899,8,73734.690331,361,46,1.399417,3.095961,12.927897,'Low Sales',no,no
Athleisure,'Under Armour',Leggings,Men,XXL,Orange,All-Season,UPI,New,441.118229,737.48008,40.606094,3,61177.530758,372,58,3.121422,3.490954,17.442031,'Medium Sales',no,no
'Traditional Wear',Levi’s,Kurta,Women,L,Blue,Winter,Card,New,1549.561428,1168.710591,29.684506,5,63499.166648,92,63,2.578998,3.578148,7.542568,'Low Sales',no,no
Athleisure,Puma,Palazzo,Women,XXL,Blue,Winter,Cash,New,1277.474928,543.328515,24.44644,3,71663.262264,247,57,1.723611,4.230712,16.043978,'High Sales',no,no
Athleisure,Gucci,'Casual Shirt',Men,L,White,Summer,UPI,Returning,2828.975232,686.066408,9.182241,4,63530.823578,93,24,2.964409,4.429149,10.53203,'Low Sales',no,no
